FuelModels.description,ros_fullcure,intensity_BTU_ft_fullcure,intensity_kW_m_fullcure,fl_m_fullcure,ros_km_hr_fullcure,ros_two3rdcured,intensity_BTU_ft_two3rdcured,intensity_kW_m_two3rdcured,fl_m_two3rdcured,ros_km_hr_two3rdcured,ros_one3rdcured,intensity_BTU_ft_one3rdcured,intensity_kW_m_one3rdcured,fl_m_one3rdcured,ros_km_hr_one3rdcured,ros_uncured,intensity_BTU_ft_uncured,intensity_kW_m_uncured,fl_m_uncured,ros_km_hr_uncured
220A,1.8,31.43321202,0.030223631,0.671413911,0.108,1.21,21.13010364,0.020316997,0.559301846,0.0726,0.6,10.47773734,0.010074544,0.405055523,0.036,0.1,1.746289557,0.001679091,0.177649906,0.006
220G,1.95,20.94842459,0.020142309,0.557084575,0.117,1.36,14.6101833,0.014047969,0.47199034,0.0816,0.81,8.701653291,0.008366805,0.371884709,0.0486,0.44,4.72682401,0.004544931,0.280862297,0.0264
221A,15.87,249.382977,0.239786478,1.740805439,0.9522,9.84,154.6268742,0.148676682,1.397212923,0.5904,4.35,68.35639255,0.065725972,0.959820246,0.261,0.18,2.828540381,0.002719695,0.221773781,0.0108
221G,10.38,174.8240029,0.168096606,1.478386514,0.6228,6.99,117.7283025,0.113198003,1.232527762,0.4194,3.47,58.44309153,0.056194145,0.893076718,0.2082,0.62,10.44228148,0.010040452,0.404424434,0.0372
222A,2,29.65659084,0.028515376,0.653683117,0.12,1.45,21.50102836,0.020673648,0.563796988,0.087,0.82,12.15920225,0.011691304,0.433758344,0.0492,0.42,6.227884077,0.005988229,0.318851265,0.0252
222G,2.55,54.42791252,0.052333474,0.864309878,0.153,1.99,42.47511605,0.040840632,0.771140315,0.1194,1.29,27.53412045,0.026474581,0.631731104,0.0774,0.76,16.22165236,0.015597427,0.495262272,0.0456
223A,9.82,115.0865815,0.110657938,1.21972763,0.5892,6.06,71.02084356,0.068287893,0.976852483,0.3636,2.64,30.93977343,0.029749181,0.66654486,0.1584,0.09,1.054765003,0.001014177,0.140877985,0.0054
223G,10.16,485.0438613,0.466378902,2.364017953,0.6096,6.95,331.7967358,0.319028875,1.985147014,0.417,3.55,169.4789082,0.162957195,1.45741994,0.213,0.72,34.37318702,0.033050473,0.69960453,0.0432
224A,16.35,310.8300318,0.29886899,1.926424851,0.981,10.1,192.0112123,0.184622434,1.543553674,0.606,4.41,83.83855904,0.08061237,1.054327793,0.2646,0.15,2.851651668,0.002741917,0.222605496,0.009
224G,6.39,120.2233643,0.115597053,1.244475606,0.3834,4.22,79.39633762,0.076341089,1.028252374,0.2532,2.04,38.38116795,0.036904223,0.736013652,0.1224,0.3,5.644289404,0.005427092,0.304741619,0.018
225A,7.35,135.6005849,0.130382543,1.31532121,0.441,4.39,80.99136975,0.077874743,1.037703608,0.2634,2.57,47.41408206,0.045589542,0.811164404,0.1542,1.44,26.5666452,0.025544335,0.62142167,0.0864
225G,14.41,618.7743611,0.594963323,2.644212582,0.8646,11.25,483.081996,0.464492532,2.359614719,0.675,7.28,312.6077272,0.300578278,1.931485137,0.4368,4.35,186.7917051,0.179603779,1.524108883,0.261
226A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226G,0.94,3.178229994,0.003055929,0.233989706,0.0564,0.94,3.178229994,0.003055929,0.233989706,0.0564,0.94,3.178229994,0.003055929,0.233989706,0.0564,0.94,3.178229994,0.003055929,0.233989706,0.0564
227A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228A,0.67,5.027686553,0.004834216,0.288948786,0.0402,0.67,5.027686553,0.004834216,0.288948786,0.0402,0.67,5.027686553,0.004834216,0.288948786,0.0402,0.67,5.027686553,0.004834216,0.288948786,0.0402
228G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229A,0.76,2.067258686,0.001987709,0.191987575,0.0456,0.76,2.067258686,0.001987709,0.191987575,0.0456,0.76,2.067258686,0.001987709,0.191987575,0.0456,0.76,2.067258686,0.001987709,0.191987575,0.0456
229G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230G,0.71,1.932221288,0.001857868,0.186113408,0.0426,0.71,1.932221288,0.001857868,0.186113408,0.0426,0.71,1.932221288,0.001857868,0.186113408,0.0426,0.71,1.932221288,0.001857868,0.186113408,0.0426
231A,0.63,1.715803542,0.001649778,0.176216504,0.0378,0.63,1.715803542,0.001649778,0.176216504,0.0378,0.63,1.715803542,0.001649778,0.176216504,0.0378,0.63,1.715803542,0.001649778,0.176216504,0.0378
231G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232G,1.19,16.84894197,0.016200578,0.503981873,0.0714,0.95,13.45083602,0.012933235,0.454376825,0.057,0.79,11.18543206,0.010755006,0.41741858,0.0474,0.68,9.627966838,0.009257473,0.389598624,0.0408
233A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233G,3.61,2.371920065,0.002280646,0.204520821,0.2166,3.61,2.371920065,0.002280646,0.204520821,0.2166,3.61,2.371920065,0.002280646,0.204520821,0.2166,3.61,2.371920065,0.002280646,0.204520821,0.2166
234A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239A,2.83,0.929853255,0.000894072,0.132941978,0.1698,2.83,0.929853255,0.000894072,0.132941978,0.1698,2.83,0.929853255,0.000894072,0.132941978,0.1698,2.83,0.929853255,0.000894072,0.132941978,0.1698
239G,2.32,1.527001444,0.001468241,0.167015836,0.1392,2.32,1.527001444,0.001468241,0.167015836,0.1392,2.32,1.527001444,0.001468241,0.167015836,0.1392,2.32,1.527001444,0.001468241,0.167015836,0.1392
240A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240G,5.99,5.903518523,0.005676345,0.311101806,0.3594,5.99,5.903518523,0.005676345,0.311101806,0.3594,5.99,5.903518523,0.005676345,0.311101806,0.3594,5.99,5.903518523,0.005676345,0.311101806,0.3594
241A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241G,1.19,6.471391412,0.006222366,0.324526699,0.0714,1.19,6.471391412,0.006222366,0.324526699,0.0714,1.19,6.471391412,0.006222366,0.324526699,0.0714,1.19,6.471391412,0.006222366,0.324526699,0.0714
242A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242G,0.3,2.671949669,0.00256913,0.216039175,0.018,0.3,2.671949669,0.00256913,0.216039175,0.018,0.3,2.671949669,0.00256913,0.216039175,0.018,0.3,2.671949669,0.00256913,0.216039175,0.018
243A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
