fuelModelType,loadLitter,load1hr,load10hr,load100hr,loadLiveHerb,loadLiveWoody,savLitter,sav1hr,sav10hr,sav100hr,savLiveHerb,savLiveWoody,fuelBedDepth,mxDead,heat,description,slope,totalLoad_g_m2,CWDSource,herbSource
D,0.2392,0.080825461,0.253861745,0,1.1456,0,0,2093,358,98,5906,2093,37,15,16890,217G,4.3,171.9487206,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,2.01305,1.333103183,0.760673065,0,0.2758,0,0,2093,358,98,5906,2093,26.625,15,16890,218A,2,438.2626248,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.58035,0.768654641,0.253595715,0,2.58775,0,0,2093,358,98,5906,2093,37.125,15,16890,218G,4.3,419.0350356,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,5.4691,0.404086923,0,0,0.4179,0,0,2093,358,98,5906,2093,17.625,15,16890,219A,2.3,629.1086923,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,1.3816,1.171686512,1.268041942,0,0.53235,0.179620585,0,2093,358,98,5906,2093,24.25,15,16890,219G,2.3,453.3299039,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,1.59245,0.161650922,0,0,0.393225,0,0,2093,358,98,5906,2093,13.0625,15,16890,220A,2,214.7325922,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.8371,0.28329411,0,0,0.18388,0.016712655,0,2093,358,98,5906,2093,11.4375,15,16890,220G,4.7,132.0986765,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.6433,0.080986805,0,0,1.208,0,0,2093,358,98,5906,2093,40.125,15,16890,221A,6.3,193.2286805,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.71445,0.405175358,0,0,0.9514,0,0,2093,358,98,5906,2093,28.625,15,16890,221G,7,207.1025358,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.74065,0.565562169,0,0,0.51715,0,0,2093,358,98,5906,2093,7.125,15,16890,222A,1,182.3362169,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.65235,1.454250503,0,0,0.518,0,0,2093,358,98,5906,2093,8.3125,15,16890,222G,0.7,262.4600503,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.62935,0.040402635,0,0,0.77135,0,0,2093,358,98,5906,2093,29.5,15,16890,223A,2,144.1102635,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,1.0021,1.696617845,0,0,3.1717,0,0,2093,358,98,5906,2093,24.125,15,16890,223G,0.3,587.0417845,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.7856,0.080890037,0,0,1.4712,0,0,2093,358,98,5906,2093,41.8125,15,16890,224A,2.7,233.7690037,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.80615,0.364301199,0,0,1.14305,0,0,2093,358,98,5906,2093,17.875,15,16890,224G,5.3,231.3501199,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.4725,0.929357496,0,0,0.6082,0.258532088,0,2093,358,98,5906,2093,21.5625,15,16890,225A,2.3,226.8589584,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.5825,3.47694595,0,0,1.22075,0,0,2093,358,98,5906,2093,38,15,16890,225G,3.7,528.019595,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
